,Image_Text,Genre
0,se ai b jk rowling ns fantastic beasts original sgreenplay i wave af nass,Art-Photography
1,mindfulness colouring book,Art-Photography
2,igen al soe  i onioinay®,Art-Photography
3,,Art-Photography
4,,Art-Photography
5,apie humans of new york,Art-Photography
6,ways of seeing john berger,Art-Photography
7,,Art-Photography
8,,Art-Photography
9,,Art-Photography
10,just kids parrr smith,Art-Photography
11,,Art-Photography
12,,Art-Photography
13,harry pottere a history of magic,Art-Photography
14,anthon kies,Art-Photography
15,e   hot e a   anvthing “5 i ras  me,Art-Photography
16,brsts julia cameron,Art-Photography
17,chanel,Art-Photography
18,,Art-Photography
19,joun thompsons easiest piano course,Art-Photography
20,ik fou e antasl ic,Art-Photography
21,twenumber 1 bestseller my booky wook,Art-Photography
22,ft stephen washpot,Art-Photography
23,,Art-Photography
24,,Art-Photography
25,,Art-Photography
26,,Art-Photography
27,,Art-Photography
28,,Art-Photography
29,hoyo butt habitforming products nir eyal,Art-Photography
30,,Art-Photography
31,theqceanat the endo th lane n an,Art-Photography
32,,Art-Photography
33,music theory in practice,Art-Photography
34,,Art-Photography
35,,Art-Photography
36,,Art-Photography
37,,Art-Photography
38,keith richards,Art-Photography
39,,Art-Photography
40,the design of everyday things don norman,Art-Photography
41,,Art-Photography
42,dav,Art-Photography
43,,Art-Photography
44,,Art-Photography
45,,Art-Photography
46,miranda hart ts it just me s — be,Art-Photography
47,,Art-Photography
48,,Art-Photography
49,,Art-Photography
50,,Art-Photography
51,save tre cat,Art-Photography
52, ml,Art-Photography
53,,Art-Photography
54,,Art-Photography
55,susansontag  on photography,Art-Photography
56,ae how to draw almost everything,Art-Photography
57, neil gaiman chris ‘i riddell ,Art-Photography
58,,Art-Photography
59,,Art-Photography
60,indian summer,Art-Photography
61,beth eempron wabi sabi,Art-Photography
62,john thompsons easiest piano course,Art-Photography
63,,Art-Photography
64,,Art-Photography
65,,Art-Photography
66,wall and piece banksy,Art-Photography
67,,Art-Photography
68,rimance andwestca son,Art-Photography
69,,Art-Photography
70,,Art-Photography
71,,Art-Photography
72,,Art-Photography
73,ge ve and j beyond,Art-Photography
74,,Art-Photography
75,the ab guide to music theory ee toa,Art-Photography
76,,Art-Photography
77,,Art-Photography
78,101 things  learned in architecture school,Art-Photography
79,,Art-Photography
80,designasart bruno munari,Art-Photography
81,,Art-Photography
82,,Art-Photography
83,piano scales broken chords,Art-Photography
84,,Art-Photography
85,parislan,Art-Photography
86,fanding a,Art-Photography
87,readthis if you want to take great photographs,Art-Photography
88,prep course,Art-Photography
89,,Art-Photography
90,,Art-Photography
91,,Art-Photography
92,,Art-Photography
93,robert mckee v,Art-Photography
94,,Art-Photography
95,,Art-Photography
96,,Art-Photography
97,,Art-Photography
98,,Art-Photography
99,oe the,Art-Photography
100,,Art-Photography
101,,Art-Photography
102,bill bryson ae home,Art-Photography
103,,Art-Photography
104,piano scales arpegsios ‘broken chords,Art-Photography
105,oliver sacks musicophilia,Art-Photography
106,persepolis,Art-Photography
107,wall and piece banksy,Art-Photography
108,,Art-Photography
109,,Art-Photography
110,piano sightreading,Art-Photography
111,samuel beckett aiting,Art-Photography
112,,Art-Photography
113,,Art-Photography
114,,Art-Photography
115,,Art-Photography
116,,Art-Photography
117,,Art-Photography
118,,Art-Photography
119,piano sightreading,Art-Photography
120,,Art-Photography
121,oe malorne ce syepate  cbelyyeply cr al,Art-Photography
122,piano cf,Art-Photography
123,,Art-Photography
124,,Art-Photography
125,,Art-Photography
126,,Art-Photography
127,,Art-Photography
128,,Art-Photography
129,,Art-Photography
130,coco diaper por,Art-Photography
131,piano sightreading,Art-Photography
132,,Art-Photography
133,,Art-Photography
134,,Art-Photography
135,,Art-Photography
